exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
105.0,g,237.342416666667,2.88630555555556,DECaLS_5_g,426239
149.0,z,239.717458333333,-2.65772222222222,DECaLS_38113_z,1202678
65.0,z,183.299625,22.1835555555556,DECaLS_25428_z,425692
65.0,z,177.231458333333,24.9880555555556,DECaLS_19095_z,425682
140.0,z,241.992875,-4.53352777777778,DECaLS_22248_z,1202684
127.0,z,241.00525,-3.62433333333333,DECaLS_38116_z,1202685
65.0,z,173.667125,11.2041944444444,DECaLS_19249_z,425646
117.0,g,200.622916666667,-1.63552777777778,DECaLS_44976_g,425360
230.0,z,251.933416666667,-1.86369444444444,DECaLS_6453_z,1202672
250.0,z,247.468791666667,-8.24183333333333,DECaLS_38152_z,1202675
65.0,z,185.28025,22.3675833333333,DECaLS_25438_z,425695
65.0,z,193.827375,-2.92394444444444,DECaLS_13216_z,426136
72.0,r,232.805958333333,3.15352777777778,DECaLS_32839_r,425417
86.0,z,306.142708333333,-3.20822222222222,DECaLS_563_z,1202766
65.0,z,186.512541666667,2.81952777777778,DECaLS_9681_z,426116
65.0,z,189.962375,18.5535,DECaLS_25489_z,425713
64.0,r,234.110625,13.373,DECaLS_15938_r,425837
64.0,r,230.980125,12.2648333333333,DECaLS_15955_r,425830
70.0,r,252.157208333333,13.5985,DECaLS_31086_r,425877
69.0,z,176.246208333333,6.98661111111111,DECaLS_3383_z,426064
65.0,z,175.370458333333,19.5355,DECaLS_19140_z,425696
151.0,z,162.312083333333,1.371,DECaLS_35206_z,425601
80.0,z,309.705208333333,-26.9597222222222,DECaLS_16645_z,1202754
65.0,g,217.056125,12.6199722222222,DECaLS_17033_g,425796
164.0,z,163.180833333333,-3.11061111111111,DECaLS_38892_z,426023
72.0,r,236.853083333333,4.39525,DECaLS_9_r,426254
118.0,z,167.986333333333,8.33333333333333e-05,DECaLS_3425_z,426039
80.0,z,308.345291666667,-28.2478333333333,DECaLS_16644_z,1202757
80.0,z,306.650041666667,-27.8885,DECaLS_32496_z,1202758
80.0,z,310.3535,-28.5376944444444,DECaLS_16661_z,1202761
80.0,z,305.750541666667,-6.07719444444444,DECaLS_16455_z,1202762
148.0,z,324.512,11.178,DECaLS_27703_z,563530
80.0,z,305.044708333333,-3.04605555555556,DECaLS_32314_z,1202763
81.0,z,306.12475,-1.55161111111111,DECaLS_43396_z,1202765
67.0,r,244.220458333333,13.9701666666667,DECaLS_31054_r,425865
73.0,g,228.9185,-0.00255555555555556,DECaLS_1119_g,426223
119.0,g,204.107708333333,-1.65011111111111,DECaLS_33094_g,425365
80.0,z,306.524708333333,-23.5435833333333,DECaLS_16582_z,1202744
65.0,z,170.095208333333,-2.94925,DECaLS_22958_z,425626
65.0,z,174.631875,9.75633333333333,DECaLS_19272_z,425647
59.0,r,203.283916666667,12.1174166666667,DECaLS_25630_r,425765
80.0,z,220.490375,8.02480555555556,DECaLS_1149_z,426206
87.0,z,305.730125,-26.3416666666667,DECaLS_16602_z,1202748
70.0,z,175.338083333333,2.80269444444444,DECaLS_3363_z,426050
66.0,z,183.776541666667,9.78011111111111,DECaLS_9611_z,426088
90.0,r,234.469041666667,-1.62947222222222,DECaLS_1098_r,426247
92.0,g,308.961,-4.725,DECaLS_32310_g,771414
80.0,z,309.392375,-25.3586666666667,DECaLS_32498_z,1202752
64.0,g,209.476708333333,13.9483611111111,DECaLS_25551_g,425778
119.0,g,146.092004166667,-3.295,DECaLS_47502_g,802637
99.0,z,304.886666666667,-23.188,DECaLS_32433_z,1202740
80.0,z,39.1354583333333,8.07475,DECaLS_26276_z,563303
162.0,z,206.102791666667,10.6564166666667,DECaLS_41487_z,563448
60.0,r,225.066166666667,14.1028611111111,DECaLS_16029_r,425817
60.0,r,223.9175,12.6133055555556,DECaLS_16030_r,425813
125.0,z,301.045875,-18.1763888888889,DECaLS_16494_z,1202723
66.0,z,176.217666666667,26.5506944444444,DECaLS_19087_z,425673
77.0,g,239.974916666667,5.19341666666667,DECaLS_15083_g,426259
66.0,z,177.328291666667,19.4010555555556,DECaLS_19141_z,425699
121.0,z,307.5705,-10.5517222222222,DECaLS_32358_z,1202733
86.0,r,251.7915,17.038,DECaLS_47001_r,425452
63.0,r,228.631125,13.9180833333333,DECaLS_15989_r,425826
76.0,g,250.797791666667,12.6796944444444,DECaLS_31068_g,425875
110.0,z,305.54025,-4.54847222222222,DECaLS_32320_z,1202707
105.0,z,166.465916666667,2.83961111111111,DECaLS_19320_z,425300
71.0,z,180.950458333333,11.1233333333333,DECaLS_9582_z,426078
88.0,z,306.748708333333,-19.2024722222222,DECaLS_16545_z,1202717
112.0,z,305.744666666667,-10.32775,DECaLS_32345_z,1202712
